

=== New Session 2025-05-19 09:35:45 ===
2025-05-19 09:48:38 - 2 danger_stop (96%)
2025-05-19 09:48:38 - 2 danger_stop (97%)
2025-05-19 09:48:38 - 2 danger_stop (98%)
2025-05-19 09:48:38 - 2 danger_stop (97%)
2025-05-19 09:48:38 - 2 danger_stop (98%)
2025-05-19 09:48:38 - 3 go (94%)
2025-05-19 09:48:38 - 3 go (82%)
2025-05-19 09:48:38 - 3 go (81%)
2025-05-19 09:48:40 - 3 go (76%)
2025-05-19 09:48:41 - 3 go (95%)
2025-05-19 09:48:41 - 3 go (99%)
2025-05-19 09:48:41 - 3 go (99%)
2025-05-19 09:48:41 - 3 go (99%)
2025-05-19 09:48:41 - 3 go (99%)
2025-05-19 09:48:41 - 3 go (99%)
2025-05-19 09:48:42 - 3 go (89%)
2025-05-19 09:48:42 - 3 go (99%)
2025-05-19 09:48:42 - 3 go (96%)
2025-05-19 09:48:42 - 3 go (97%)
2025-05-19 09:48:42 - 3 go (81%)
2025-05-19 09:48:42 - 3 go (75%)
2025-05-19 09:48:42 - 3 go (81%)
2025-05-19 09:48:43 - 3 go (78%)
2025-05-19 09:48:43 - 3 go (85%)
2025-05-19 09:48:43 - 3 go (81%)
2025-05-19 09:48:43 - 3 go (87%)
2025-05-19 09:48:43 - 3 go (91%)
2025-05-19 09:48:43 - 3 go (98%)
2025-05-19 09:48:43 - 3 go (98%)
2025-05-19 09:48:43 - 3 go (99%)
2025-05-19 09:48:43 - 3 go (99%)
2025-05-19 09:48:43 - 3 go (99%)
2025-05-19 09:48:43 - 3 go (99%)
2025-05-19 09:48:44 - 3 go (99%)
2025-05-19 09:48:44 - 3 go (99%)
2025-05-19 09:48:44 - 3 go (96%)
2025-05-19 09:48:44 - 3 go (99%)
2025-05-19 09:48:44 - 3 go (76%)
2025-05-19 09:48:44 - 3 go (83%)
2025-05-19 09:48:44 - 3 go (80%)
2025-05-19 09:48:44 - 3 go (91%)
2025-05-19 09:48:45 - 3 go (75%)
2025-05-19 09:48:45 - 3 go (94%)
2025-05-19 09:48:45 - 3 go (92%)
2025-05-19 09:48:45 - 3 go (83%)
2025-05-19 09:48:45 - 3 go (97%)
2025-05-19 09:48:45 - 3 go (97%)
2025-05-19 09:48:45 - 3 go (97%)
2025-05-19 09:48:45 - 3 go (92%)
2025-05-19 09:48:45 - 3 go (98%)
